task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-cb1b4b4199772036,g-3e6704b429f1ca32,extrapolation_holdout,20,5.719569917615643,0.024838478711711,False,0.024838478711711,1.0453469135938855
task-p3-d5a042f6663d0161,g-3e6704b429f1ca32,extrapolation_holdout,20,5.543478658559962,0.0189420025602575,False,0.0189420025602575,1.03862167982771
task-p3-dd5fb5e56bb32b7a,g-3e6704b429f1ca32,extrapolation_holdout,20,6.020599913279624,0.0054429476261376,False,0.0054429476261376,1.03862167982771
task-p3-34d0d2e4223be20a,g-4471e11eca661209,extrapolation_holdout,20,5.418539921951662,0.0332689562054918,False,0.0332689562054918,1.0852261306532665
task-p3-5aafb0d68eb8d209,g-4471e11eca661209,extrapolation_holdout,20,5.175501873265367,0.037229212857196,False,0.0372292128571959,1.1003015075376883
task-p3-7aa808c5ed6463f8,g-4471e11eca661209,extrapolation_holdout,20,4.941418667231999,0.044040724504449,False,0.044040724504449,1.0852261306532665
task-p3-8e8267b883cc77e1,g-4471e11eca661209,extrapolation_holdout,20,6.020599913279624,0.0086194832418673,False,0.0086194832418673,1.0500502512562817
task-p3-adfa49a202ade119,g-4471e11eca661209,extrapolation_holdout,20,5.719569917615643,0.0191527865151591,False,0.0191527865151591,1.0802010050251256
task-p3-c6e70d92d83fd552,g-4471e11eca661209,extrapolation_holdout,20,5.543478658559962,0.016747377323013,False,0.0167473773230131,1.060100502512563
task-p3-21819aeed84e13a7,g-0deca2d7d26bc264,extrapolation_holdout,20,4.816479930623699,0.0072671198318309,False,0.0072671198318309,1.1219430485762143
task-p3-495cec96cbfead01,g-0deca2d7d26bc264,extrapolation_holdout,20,5.543478658559962,0.0028022009742729,False,0.0028022009742729,1.1018425460636516
task-p3-93b0a1066275838d,g-0deca2d7d26bc264,extrapolation_holdout,20,6.020599913279624,2.015790284458222e-06,False,2.015790284458228e-06,1.0685092127303184
task-p3-9ac3e8cc97e81156,g-0deca2d7d26bc264,extrapolation_holdout,20,5.719569917615643,9.789946337448623e-05,False,9.789946337448646e-05,1.0716917922948073
task-p3-d08de1ed37f42af5,g-0deca2d7d26bc264,extrapolation_holdout,20,5.066357403840299,0.0044691352780601,False,0.0044691352780601,1.0968174204355108
task-p3-d7268060101625ef,g-0deca2d7d26bc264,extrapolation_holdout,20,5.321629908943605,0.0057820905610735,False,0.0057820905610735,1.108710217755444
task-p3-4139dff65d899745,g-b8890b869f8ae8b3,extrapolation_holdout,20,5.543478658559962,0.0184895712066117,False,0.0184895712066117,1.024390243902439
task-p3-4fb81c9ebc655237,g-b8890b869f8ae8b3,extrapolation_holdout,20,5.175501873265367,0.0306292451946822,False,0.0306292451946822,1.024390243902439
task-p3-67dfc3be39958f9f,g-b8890b869f8ae8b3,extrapolation_holdout,20,5.418539921951662,0.0218955480851205,False,0.0218955480851205,1.024390243902439
task-p3-c595132eed67feae,g-b8890b869f8ae8b3,extrapolation_holdout,20,6.020599913279624,0.0041906144679603,False,0.0041906144679603,1.024390243902439
task-p3-cce91c6eca9298cf,g-b8890b869f8ae8b3,extrapolation_holdout,20,4.941418667231999,0.0595455815418674,False,0.0595455815418675,1.0444907464150015
task-p3-ea92ac39ff34274f,g-b8890b869f8ae8b3,extrapolation_holdout,20,5.719569917615643,0.0150555410564295,False,0.0150555410564296,1.0344404951587205
task-p3-0f72e3876456b999,g-65a5f4b07fa94104,extrapolation_holdout,20,5.719569917615643,0.0018453167445149,False,0.0018453167445149,1.0277777777777777
task-p3-5da5f5ac7e80fd07,g-65a5f4b07fa94104,extrapolation_holdout,20,6.020599913279624,0.0011711202117683,False,0.0011711202117683,1.0277777777777777
task-p3-8181ccac86396cd2,g-65a5f4b07fa94104,extrapolation_holdout,20,5.175501873265367,0.0155019538233447,False,0.0155019538233447,1.057928531546622
task-p3-8b01c5bce04b7695,g-65a5f4b07fa94104,extrapolation_holdout,20,5.543478658559962,0.0151051731889438,False,0.0151051731889437,1.0679787828029037
task-p3-9d066f50a14e58f2,g-65a5f4b07fa94104,extrapolation_holdout,20,5.418539921951662,0.0191790056450965,False,0.0191790056450965,1.073003908431044
task-p3-bc374f2720e221fe,g-65a5f4b07fa94104,extrapolation_holdout,20,4.979207228121399,0.0157292523668839,False,0.0157292523668838,1.1383305415968732
task-p3-643c08440a90b752,g-51ac21fe95f0c3f4,interpolation_holdout,12,3.135238693248112,0.0578873816035808,False,0.0578873816035808,1.1563372417643774
task-p3-6af8e5731732d55e,g-51ac21fe95f0c3f4,interpolation_holdout,12,3.612359947967774,0.0555098350801539,False,0.0555098350801539,1.1312116136236738
task-p3-8f93d28c3097445a,g-51ac21fe95f0c3f4,interpolation_holdout,12,3.311329952303793,0.0482836430567614,False,0.0482836430567613,1.136236739251815
task-p3-cd63d56bd79bc136,g-51ac21fe95f0c3f4,interpolation_holdout,12,2.9133899436317554,0.1353845522710995,True,0.1,0.1256281407035175
task-p3-ed738b21378f8b4f,g-51ac21fe95f0c3f4,interpolation_holdout,12,2.8342086975841307,0.1162748315448268,True,0.1,0.1407035175879397
task-p3-fb2dfbb22305dfe2,g-51ac21fe95f0c3f4,interpolation_holdout,12,3.010299956639812,0.1132804176343544,True,0.1,0.1407035175879397
