base_graph_id,split,size_m,objective,n_levels,eta,eta_se,kappa,eta_kappa_identity_error,intercept,R2,RMSE,D_min,D_max,P_feas_min,P_feas_max,optimizer_adequacy_flag,resource_censored
g-8e75832e853cc6ea,development,14,O3,6,-0.39910420025970655,0.15079418298302982,1.399104200259706,4.440892098500626e-16,-2.8740498910822376,0.6365263360937026,0.08334748456844612,3.36932189928148,4.214419939295737,0.0251584707861269,0.065452387501258,False,False
g-b4c9d2e42a3dc98f,interpolation_holdout,18,O0,6,0.9301319264959327,0.33478402537448637,0.06986807350406803,7.077671781985373e-16,2.2086053131574355,0.6586732279609102,0.22884350527949612,4.377147236793436,5.418539921951662,0.0013926274788633,0.0271082569438901,False,False
g-b4c9d2e42a3dc98f,interpolation_holdout,18,O2,6,0.33983642536688385,0.16171449189602047,0.6601635746331163,1.1102230246251565e-16,0.15793764705622654,0.5247222411430861,0.11054085134014967,4.377147236793436,5.418539921951662,0.01735806393881,0.0480367668431919,False,False
g-b4c9d2e42a3dc98f,interpolation_holdout,18,O3,6,0.6068812093874203,0.0627320332687452,0.39311879061258,2.7755575615628914e-16,1.301824327325035,0.9590121220211809,0.042880834503591765,4.377147236793436,5.418539921951662,0.0095463939492113,0.038114143014788,False,False
g-b8890b869f8ae8b3,extrapolation_holdout,20,O0,6,0.259996460342211,0.24178868496068395,0.7400035396577879,1.1102230246251565e-15,-0.8920612619410725,0.224246901905507,0.1697831699182323,4.941418667231999,6.020599913279624,0.0027287968388379,0.0087348982654562,False,False
g-b8890b869f8ae8b3,extrapolation_holdout,20,O2,6,1.0609721480423429,0.1332397280947666,-0.0609721480423438,9.43689570931383e-16,4.127641473526599,0.9406594042540936,0.09356047161037026,4.941418667231999,6.020599913279624,0.0042024856543952,0.0594286095328887,False,False
g-b8890b869f8ae8b3,extrapolation_holdout,20,O3,6,0.9653836887865288,0.12322566715019015,0.03461631121347086,3.3306690738754696e-16,3.558545839029043,0.9388153320023028,0.08652863299806703,4.941418667231999,6.020599913279624,0.0041906144679603,0.0595455815418674,False,False
g-c0fc2d5e7eacaffa,development,16,O0,6,0.4561143914860578,0.3822685541423066,0.5438856085139421,1.1102230246251565e-16,0.11650045017762711,0.2624924794129746,0.26130182224256987,3.775087245465474,4.816479930623699,0.0042637177897174,0.0373695982636739,False,False
g-c0fc2d5e7eacaffa,development,16,O2,6,0.5980269613382737,0.11433568853095338,0.4019730386617256,6.661338147750939e-16,1.0371524018452276,0.87243919420528,0.0781548035713528,3.775087245465474,4.816479930623699,0.0144511795651501,0.0569668576202221,False,False
g-c0fc2d5e7eacaffa,development,16,O3,6,0.4459163263084322,0.1328660562005462,0.5540836736915674,3.3306690738754696e-16,0.42106169996334764,0.7379392661085259,0.09082134071237766,3.775087245465474,4.816479930623699,0.0190894813304835,0.0646945539082677,False,False
g-cd9098863d67a067,development,16,O0,6,1.6397791802774506,0.15863979765105443,-0.6397791802774503,3.3306690738754696e-16,5.127647463055501,0.9639129513281274,0.09882633833269551,3.8622374211843744,4.816479930623699,0.0016905288081463,0.0638063259405819,False,False
g-cd9098863d67a067,development,16,O2,6,0.6160477504955194,0.17280972398209077,0.38395224950448115,5.551115123125783e-16,1.387690337451247,0.7606000975957208,0.10765364367773014,3.8622374211843744,4.816479930623699,0.0215311084783904,0.0981956997674051,False,False
g-cd9098863d67a067,development,16,O3,6,0.7201426431205779,0.18931726202889382,0.279857356879422,1.6653345369377348e-16,1.7774675471928125,0.783427942716511,0.11793718894322272,3.8622374211843744,4.816479930623699,0.0156154264473148,0.1051256433106524,False,False
g-e7e26759e1ed20ef,development,16,O0,6,1.7351246246016212,0.2206411376385066,-0.7351246246016196,1.5543122344752192e-15,5.5569463304026065,0.9392491404224058,0.13745072826137053,3.8622374211843744,4.816479930623699,0.0010631257456528,0.0464656828866268,False,False
g-e7e26759e1ed20ef,development,16,O2,6,1.3238378504423534,0.3530154945158419,-0.32383785044235386,4.996003610813204e-16,4.114922207444138,0.7785544608121888,0.21991473271066994,3.8622374211843744,4.816479930623699,0.0025932410699732,0.0675370114225903,False,False
g-e7e26759e1ed20ef,development,16,O3,6,0.600196886217674,0.16162936171697878,0.3998031137823262,1.6653345369377348e-16,1.199726961494221,0.7751476359755912,0.10068871885902583,3.8622374211843744,4.816479930623699,0.0193510963995094,0.0753805620115353,False,False
g-f9e9faf277cb53e1,development,14,O0,6,0.30755446083524757,0.1149545590437134,0.6924455391647516,7.771561172376096e-16,-0.2140965625405566,0.6415127985652931,0.06653786998049264,3.311329952303793,4.214419939295737,0.0315871333185468,0.0646551038500364,False,False
g-f9e9faf277cb53e1,development,14,O2,6,0.24030060758670405,0.17326622956179272,0.7596993924132955,4.440892098500626e-16,-0.29543912560976565,0.3247183569143153,0.10028976623892531,3.311329952303793,4.214419939295737,0.0448008786252295,0.0960083500788163,False,False
g-f9e9faf277cb53e1,development,14,O3,6,0.24466052863850718,0.11651989507231078,0.7553394713614903,2.55351295663786e-15,-0.29517701525879864,0.524312032555392,0.06744391603915298,3.311329952303793,4.214419939295737,0.051019360903741,0.1002140569487571,False,False
