task_id,graph_id,optimizer,objective,seed,embedded_p2_objective,terminal_p3_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,embedded_p2_mean_energy,embedded_p2_P_feas,embedded_p2_G_feas,terminal_p3_mean_energy,terminal_p3_P_feas,terminal_p3_G_feas,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s
task-v2-5acbf653f95a,g-a712031e7959d564,COBYLA,O0,3301,1.7306471533858763,1.457377135798703,-0.2732700175871732,0.0,True,True,False,1.7306471533858763,0.009757071493906212,1.601679435216125,1.457377135798703,0.0015448892369286297,0.8012572954729067,120,120.0,92,EVALUATION_BUDGET_EXHAUSTED,0.7316045667976141
task-v2-59a464f36e13,g-bd62d2d752385cc7,Nelder-Mead,O3,2207,0.969961916822105,0.9456807718796676,-0.024281144942437383,0.0,True,True,False,1.8371893869873699,0.010878849002277638,2.8530628794415445,1.8686758568998363,0.01157919189214081,2.8801581818086985,120,120.0,79,EVALUATION_BUDGET_EXHAUSTED,7.324675838463008
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,Nelder-Mead,O0,3301,1.531500968048685,1.5455464122843319,0.014045444235646798,-4.440892098500626e-16,True,False,True,1.531500968048685,0.008615422754603863,2.27463526882993,1.5455464122843319,0.0020209595582161843,1.6449162987616055,120,120.0,79,EVALUATION_BUDGET_EXHAUSTED,5.93255540728569
task-v2-a0f813383468,g-60667963f6db3f1b,SLSQP,O3,3301,1.06584037359066,0.061186373142968604,-1.0046540004476914,0.0,True,True,False,2.3845666761065063,0.010580870452542862,0.5577000990319778,1.6346307677655083,0.1326405368405778,1.6558549728648038,120,,14,EVALUATION_BUDGET_EXHAUSTED,0.12864497862756252
task-v2-ac528a9510be,g-a712031e7959d564,Nelder-Mead,O0,3301,1.7852627608297986,1.451041008087969,-0.33422175274182964,0.0,True,True,False,1.7852627608297986,0.016409044607456815,1.5264132479340695,1.451041008087969,0.006935120847833322,1.152383985570326,120,120.0,74,EVALUATION_BUDGET_EXHAUSTED,0.3754209615290165
task-v2-5d31ef4af595,g-bd62d2d752385cc7,SLSQP,O0,3301,1.249499916668218,1.505658142064743,0.2561582253965251,-1.7763568394002505e-15,True,False,True,1.249499916668218,0.007708813563293955,2.10140748173532,1.505658142064743,0.005762355249149648,1.9750199683164118,120,,15,EVALUATION_BUDGET_EXHAUSTED,6.4145356100052595
task-v2-59a464f36e13,g-bd62d2d752385cc7,Nelder-Mead,O0,3301,1.6209549278686188,1.5896568637450805,-0.031298064123538305,1.9984014443252818e-15,True,True,False,1.6209549278686188,0.00283438894729508,2.26893937641999,1.5896568637450805,0.00012358280491955016,0.9084379786576122,120,120.0,74,EVALUATION_BUDGET_EXHAUSTED,7.295614956878126
task-v2-6e79cb6720c5,g-e0c69f84d376b633,COBYLA,O0,2207,1.6911492570976125,1.3319490917506331,-0.3592001653469794,-5.551115123125783e-15,True,True,False,1.6911492570976125,0.004356157708269546,2.881552257255975,1.3319490917506331,0.00040978617446347013,1.8550059648003174,120,120.0,88,EVALUATION_BUDGET_EXHAUSTED,120.8166229184717
task-v2-c95d7e1ff6e7,g-a87f1b9ac089cc45,SLSQP,O3,3301,0.8734624350304301,0.8650036248222679,-0.008458810208162193,0.0,True,True,False,1.404904374469753,0.01781926902820116,3.067369815311657,1.4413164458825625,0.018543132167626236,3.0846630244141386,120,,16,EVALUATION_BUDGET_EXHAUSTED,128.57062195893377
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,COBYLA,O0,3301,1.7252941940048223,1.5557881264784499,-0.16950606752637243,0.0,True,True,False,1.7252941940048223,0.003241401337591478,-0.08102722768851583,1.5557881264784499,0.010400738709458842,0.425304151346058,120,120.0,93,EVALUATION_BUDGET_EXHAUSTED,0.3000332582741976
task-v2-c5ed7c8b71f4,g-a712031e7959d564,SLSQP,O0,1103,1.295847165645949,1.3197432800608693,0.023896114414920344,0.0,True,False,True,1.295847165645949,0.04719723949256188,1.8091552912845887,1.3197432800608693,0.009644160483800492,1.1195031218976472,120,,16,EVALUATION_BUDGET_EXHAUSTED,0.4111538799479604
task-v2-59a464f36e13,g-bd62d2d752385cc7,COBYLA,O3,1103,1.0224504103141332,1.0278532895661707,0.005402879252037529,0.0,True,False,True,1.808411476069049,0.0036116592640952467,2.3741867014170364,1.7258607088552445,0.0024181923166082565,2.1999707675621996,120,120.0,87,EVALUATION_BUDGET_EXHAUSTED,6.981945771723986
task-v2-420d9636beee,g-e0c69f84d376b633,SLSQP,O0,3301,1.4204762117435394,1.356980428710385,-0.0634957830331544,0.0,True,True,False,1.4204762117435394,0.00023416322136090575,2.089088601629875,1.356980428710385,0.00010586978599922262,1.7443419528313784,120,,16,EVALUATION_BUDGET_EXHAUSTED,114.29016244597733
